wl,k
0.017586,0.1262
0.017712,0.1316
0.017839,0.137
0.017969,0.1428
0.0181,0.1486
0.018233,0.1543
0.018368,0.1605
0.018505,0.166
0.018644,0.1714
0.018785,0.1767
0.018929,0.1817
0.019074,0.1861
0.019222,0.1899
0.019373,0.1926
0.019525,0.1951
0.01968,0.1967
0.019837,0.1977
0.019997,0.1978
0.02016,0.1974
0.020325,0.1974
0.020493,0.1964
0.020664,0.1958
0.020838,0.1961
0.021014,0.1964
0.021194,0.1988
0.021377,0.2024
0.021562,0.2091
0.021752,0.2198
0.021944,0.237
0.02214,0.2644
0.022339,0.3085
0.022543,0.3787
0.022749,0.4838
0.02296,0.6106
0.023175,0.6948
0.023393,0.6326
0.023616,0.4642
0.023843,0.3263
0.024075,0.2432
0.024311,0.1954
0.024551,0.1665
0.024797,0.1484
0.025047,0.1362
0.025303,0.128
0.025564,0.1218
0.02583,0.118
0.026102,0.1148
0.02638,0.1128
0.026663,0.1111
0.026953,0.1102
0.027249,0.1092
0.027552,0.1091
0.027862,0.1089
0.028178,0.1093
0.028502,0.1095
0.028834,0.1103
0.029173,0.1115
0.02952,0.1123
0.029876,0.1135
0.03024,0.1152
0.030613,0.1165
0.030996,0.1182
0.031388,0.1201
0.031791,0.1224
0.032204,0.1248
0.032627,0.1272
0.033062,0.1296
0.033509,0.1327
0.033968,0.1357
0.03444,0.1389
0.034925,0.1426
0.035424,0.1465
0.035937,0.1505
0.036466,0.1551
0.03701,0.1597
0.037571,0.1646
0.038149,0.1701
0.038745,0.1764
0.03936,0.1829
0.039995,0.1901
0.040651,0.1976
0.041328,0.2058
0.042029,0.2149
0.042753,0.225
0.043503,0.236
0.04428,0.2481
0.045085,0.2612
0.04592,0.2754
0.046786,0.2912
0.047686,0.3088
0.048621,0.3287
0.049594,0.3497
0.050606,0.3729
0.05166,0.3981
0.052759,0.4249
0.053906,0.4541
0.055104,0.4844
0.056356,0.5152
0.057667,0.5469
0.05904,0.5774
0.06048,0.6061
0.061992,0.6324
0.063582,0.6558
0.065255,0.6754
0.067018,0.6923
0.06888,0.7073
0.070848,0.7222
0.072932,0.7393
0.075142,0.7603
0.07749,0.7855
0.07999,0.8163
0.082656,0.8522
0.085506,0.8934
0.08856,0.938
0.09184,0.9864
0.095372,1.0372
0.099187,1.0899
0.10332,1.1434
0.107812,1.1966
0.112713,1.2494
0.11808,1.3003
0.123984,1.3485
0.13051,1.3943
0.13776,1.4374
0.145864,1.4792
0.15498,1.523
0.165312,1.5749
0.17712,1.644
0.190745,1.7437
0.20664,1.8905
0.225426,2.1009
0.247968,2.3822
0.261019,2.5445
0.27552,2.7112
0.291728,2.8678
0.30996,2.9991
0.330625,3.1106
0.354241,3.2521
0.38149,3.4954
0.413281,3.8792
0.450852,4.4072
0.495937,5.0863
0.551041,5.9541
0.619921,7.0964
0.708481,8.6751
0.826561,10.9173
0.991874,12.9363
1.239842,8.1082
1.653123,3.2184
2.479684,1.4154
