wl,n
0.017586,0.8555
0.017712,0.8552
0.017839,0.8543
0.017969,0.8546
0.0181,0.8545
0.018233,0.8555
0.018368,0.8566
0.018505,0.8582
0.018644,0.8605
0.018785,0.8633
0.018929,0.8666
0.019074,0.8704
0.019222,0.8741
0.019373,0.8775
0.019525,0.8815
0.01968,0.8847
0.019837,0.8877
0.019997,0.89
0.02016,0.8916
0.020325,0.8916
0.020493,0.8908
0.020664,0.8885
0.020838,0.8846
0.021014,0.8784
0.021194,0.8704
0.021377,0.8596
0.021562,0.8466
0.021752,0.8303
0.021944,0.81
0.02214,0.7867
0.022339,0.7617
0.022543,0.7433
0.022749,0.7524
0.02296,0.8287
0.023175,1.0068
0.023393,1.222
0.023616,1.3227
0.023843,1.3147
0.024075,1.2744
0.024311,1.2334
0.024551,1.1982
0.024797,1.1692
0.025047,1.1452
0.025303,1.1253
0.025564,1.1081
0.02583,1.0936
0.026102,1.0804
0.02638,1.0685
0.026663,1.058
0.026953,1.0484
0.027249,1.0397
0.027552,1.0315
0.027862,1.0237
0.028178,1.0158
0.028502,1.009
0.028834,1.0021
0.029173,0.9957
0.02952,0.9887
0.029876,0.9828
0.03024,0.9764
0.030613,0.9703
0.030996,0.9644
0.031388,0.9578
0.031791,0.9518
0.032204,0.9458
0.032627,0.9398
0.033062,0.9337
0.033509,0.9271
0.033968,0.9211
0.03444,0.9145
0.034925,0.9079
0.035424,0.9008
0.035937,0.8937
0.036466,0.8866
0.03701,0.8795
0.037571,0.8718
0.038149,0.8643
0.038745,0.8562
0.03936,0.8476
0.039995,0.8391
0.040651,0.8301
0.041328,0.8212
0.042029,0.8119
0.042753,0.8023
0.043503,0.7923
0.04428,0.782
0.045085,0.7715
0.04592,0.7608
0.046786,0.7502
0.047686,0.7399
0.048621,0.7301
0.049594,0.7206
0.050606,0.7121
0.05166,0.7046
0.052759,0.699
0.053906,0.6959
0.055104,0.6947
0.056356,0.6968
0.057667,0.7022
0.05904,0.7109
0.06048,0.7227
0.061992,0.7369
0.063582,0.7517
0.065255,0.7669
0.067018,0.7793
0.06888,0.7889
0.070848,0.7941
0.072932,0.796
0.075142,0.7944
0.07749,0.7912
0.07999,0.7883
0.082656,0.7862
0.085506,0.7869
0.08856,0.7911
0.09184,0.7994
0.095372,0.8123
0.099187,0.8299
0.10332,0.8523
0.107812,0.8791
0.112713,0.9105
0.11808,0.9448
0.123984,0.9811
0.13051,1.0174
0.13776,1.0508
0.145864,1.078
0.15498,1.0952
0.165312,1.0979
0.17712,1.0834
0.190745,1.0524
0.20664,1.0114
0.225426,0.9786
0.247968,0.9848
0.261019,1.0157
0.27552,1.0709
0.291728,1.1477
0.30996,1.2262
0.330625,1.2657
0.354241,1.2321
0.38149,1.1422
0.413281,1.0547
0.450852,1.0197
0.495937,1.0666
0.551041,1.2276
0.619921,1.5753
0.708481,2.3096
0.826561,4.0769
0.991874,9.0305
1.239842,14.9781
1.653123,14.0346
2.479684,12.6146
